Id,Index,Value
5761734,0,1
5761734,1,715959
5761734,2,715778
5761734,3,2147483647
5761734,4,2147483647
5761734,5,2147483647
5761734,6,2147483647
5761734,7,2147483647
5761734,8,2147483647
5761734,9,2147483647
5761888,0,1
5761888,1,716236
5761888,2,716163
5761888,3,2147483647
5761888,4,2147483647
5761888,5,2147483647
5761888,6,2147483647
5761888,7,2147483647
5761888,8,2147483647
5761888,9,2147483647
5762042,0,1
5762042,1,690228
5762042,2,690408
5762042,3,2147483647
5762042,4,2147483647
5762042,5,2147483647
5762042,6,2147483647
5762042,7,2147483647
5762042,8,2147483647
5762042,9,2147483647
5762196,0,1
5762196,1,690711
5762196,2,690666
5762196,3,2147483647
5762196,4,2147483647
5762196,5,2147483647
5762196,6,2147483647
5762196,7,2147483647
5762196,8,2147483647
5762196,9,2147483647
5762350,0,1
5762350,1,690965
5762350,2,691053
5762350,3,2147483647
5762350,4,2147483647
5762350,5,2147483647
5762350,6,2147483647
5762350,7,2147483647
5762350,8,2147483647
5762350,9,2147483647
5762504,0,1
5762504,1,690555
5762504,2,690198
5762504,3,2147483647
5762504,4,2147483647
5762504,5,2147483647
5762504,6,2147483647
5762504,7,2147483647
5762504,8,2147483647
5762504,9,2147483647
5762658,0,1
5762658,1,690666
5762658,2,690711
5762658,3,2147483647
5762658,4,2147483647
5762658,5,2147483647
5762658,6,2147483647
5762658,7,2147483647
5762658,8,2147483647
5762658,9,2147483647
5762812,0,1
5762812,1,718373
5762812,2,717996
5762812,3,2147483647
5762812,4,2147483647
5762812,5,2147483647
5762812,6,2147483647
5762812,7,2147483647
5762812,8,2147483647
5762812,9,2147483647
5762966,0,1
5762966,1,688271
5762966,2,688406
5762966,3,2147483647
5762966,4,2147483647
5762966,5,2147483647
5762966,6,2147483647
5762966,7,2147483647
5762966,8,2147483647
5762966,9,2147483647
5763120,0,1
5763120,1,687755
5763120,2,687270
5763120,3,2147483647
5763120,4,2147483647
5763120,5,2147483647
5763120,6,2147483647
5763120,7,2147483647
5763120,8,2147483647
5763120,9,2147483647
5763274,0,1
5763274,1,687257
5763274,2,686997
5763274,3,2147483647
5763274,4,2147483647
5763274,5,2147483647
5763274,6,2147483647
5763274,7,2147483647
5763274,8,2147483647
5763274,9,2147483647
5763428,0,1
5763428,1,686097
5763428,2,686043
5763428,3,2147483647
5763428,4,2147483647
5763428,5,2147483647
5763428,6,2147483647
5763428,7,2147483647
5763428,8,2147483647
5763428,9,2147483647
5763582,0,1
5763582,1,685774
5763582,2,685520
5763582,3,2147483647
5763582,4,2147483647
5763582,5,2147483647
5763582,6,2147483647
5763582,7,2147483647
5763582,8,2147483647
5763582,9,2147483647
5763736,0,1
5763736,1,690420
5763736,2,690407
5763736,3,2147483647
5763736,4,2147483647
5763736,5,2147483647
5763736,6,2147483647
5763736,7,2147483647
5763736,8,2147483647
5763736,9,2147483647
5763890,0,1
5763890,1,682776
5763890,2,682907
5763890,3,2147483647
5763890,4,2147483647
5763890,5,2147483647
5763890,6,2147483647
5763890,7,2147483647
5763890,8,2147483647
5763890,9,2147483647
5764044,0,1
5764044,1,682013
5764044,2,682644
5764044,3,2147483647
5764044,4,2147483647
5764044,5,2147483647
5764044,6,2147483647
5764044,7,2147483647
5764044,8,2147483647
5764044,9,2147483647
5764198,0,1
5764198,1,683085
5764198,2,683079
5764198,3,2147483647
5764198,4,2147483647
5764198,5,2147483647
5764198,6,2147483647
5764198,7,2147483647
5764198,8,2147483647
5764198,9,2147483647
5764352,0,1
5764352,1,682996
5764352,2,683138
5764352,3,2147483647
5764352,4,2147483647
5764352,5,2147483647
5764352,6,2147483647
5764352,7,2147483647
5764352,8,2147483647
5764352,9,2147483647
5764506,0,1
5764506,1,682907
5764506,2,682776
5764506,3,2147483647
5764506,4,2147483647
5764506,5,2147483647
5764506,6,2147483647
5764506,7,2147483647
5764506,8,2147483647
5764506,9,2147483647
5764660,0,1
5764660,1,682644
5764660,2,682013
5764660,3,2147483647
5764660,4,2147483647
5764660,5,2147483647
