Id,FieldLocstart,FieldLocend,FieldDist,FieldTimeempty,FieldTimeloaded,FieldClosed
5761734,1974822,2030856,5151,893,1422,0
5761888,1976520,2018970,252,38,23,0
5762042,1978218,2501202,921,92,91,1
5762196,1978218,1979916,517,40,48,1
5762350,1978218,2499504,460,47,73,1
5762504,1979916,2927400,1252,106,115,1
5762658,1979916,1978218,517,46,42,1
5762812,1981614,2319516,692,59,63,0
5762966,1983312,3131160,2402,205,220,1
5763120,1983312,3144744,1373,107,153,1
5763274,1983312,3136254,1399,156,141,1
5763428,1985010,3151536,841,93,89,1
5763582,1985010,3158328,416,36,38,1
5763736,1990104,3341712,133,15,39,0
5763890,1991802,1996896,465,40,42,1
5764044,1993500,1996896,994,85,90,1
5764198,1995198,2475732,34,3,3,0
5764352,1996896,1998594,443,38,40,1
5764506,1996896,1991802,465,40,42,1
5764660,1996896,1993500,994,85,90,1
5764814,1998594,2764392,336,29,31,1
5764968,1998594,2808540,113,9,10,0
5765122,1998594,2757600,209,18,25,0
5765276,1998594,1996896,443,38,40,1
5765430,2001990,2010480,498,42,74,0
5765584,2001990,2278764,447,35,41,0
5765738,2001990,2219334,403,49,37,0
5765892,2001990,3316242,511,50,49,0
5766046,2001990,2221032,575,45,53,0
5766200,2003688,2024064,236,25,23,0
5766354,2003688,2005386,556,74,143,0
5766508,2005386,2007084,428,62,113,0
5766662,2005386,2003688,556,96,97,0
5766816,2007084,2008782,247,28,74,0
5766970,2007084,2005386,428,62,75,0
5767124,2008782,2012178,887,107,249,0
5767278,2008782,2007084,247,68,32,0
5767432,2010480,2001990,498,60,46,0
5767586,2010480,2020668,407,37,55,0
5767740,2012178,2013876,380,38,56,0
5767894,2012178,2008782,887,198,129,0
5768048,2013876,2012178,380,39,41,0
5768202,2013876,2015574,317,32,48,0
5768356,2015574,2013876,317,27,35,0
5768510,2015574,2017272,589,64,97,0
5768664,2017272,2015574,589,55,68,0
5768818,2017272,2018970,174,30,48,0
5768972,2018970,2017272,174,19,31,0
5769126,2018970,1976520,252,21,22,0
5769280,2018970,2234616,263,83,73,0
5769434,2020668,2010480,407,51,38,0
5769588,2020668,2022366,674,67,105,0
5769742,2020668,3316242,448,38,41,0
5769896,2022366,2020668,674,81,64,0
5770050,2022366,2024064,471,49,116,0
5770204,2024064,2025762,558,55,97,0
5770358,2024064,2003688,236,25,36,0
5770512,2024064,2480826,516,44,40,0
5770666,2024064,2022366,471,78,45,0
5770820,2025762,2024064,558,89,83,0
5770974,2025762,2027460,466,97,115,0
5771128,2027460,2025762,466,91,128,0
5771282,2027460,2029158,347,70,87,0
5771436,2029158,2027460,347,68,94,0
