Id,Name,Pit,Region,Xloc,Yloc,Zloc,UnitId,Signid,Signpost,Shoptype,Radius,Gpstype
1974822,5580_LAVA,TDU,LAVA,716074,7348164,558,251,10002,1,229,0,319
1976520,6000_LAVA,TDU,LAVA,716203,7351312,6000,251,1,1,229,10,320
1978218,ADMIN-STH,BLACKWATER,MAIN,690798,7369179,292,257,65535,1,229,0,319
1979916,ADMIN-WST,BLACKWATER,MAIN,690771,7369665,280,257,65535,0,229,0,319
1981614,AUX_TEARDOWN_PAD,TDU,DELTA4,718360,7359496,5330,251,10034,1,229,0,319
1983312,BAR,BLACKWATER,MAIN,687550,7357002,355,257,65535,0,229,0,319
1985010,BAR1,BLACKWATER,MAIN,685900,7354599,320,257,65535,0,229,0,319
1986708,BEACONOLDPRO,BLACKWATER,COAL,682739,7374432,-1500,251,10057,1,229,0,319
1988406,BLACKWATER,NULL,NULL,676000,7337000,-1500,258,65535,0,229,0,319
1990104,BRAKETEST-PAD,BLACKWATER,COAL,690434,7369292,281,256,65535,1,229,0,319
1991802,CHPP-ACCESS,BLACKWATER,MAIN,682842,7374112,290,257,65535,0,229,0,319
1993500,CHPP-ACCESS1,BLACKWATER,MAIN,682458,7374146,290,257,65535,0,229,0,319
1995198,CHPP-GOLINE,BLACKWATER,COAL,683091,7373901,294,256,10008,1,229,0,319
1996896,CHPP-LVACCESS,BLACKWATER,MAIN,682879,7373661,290,257,65535,0,229,0,319
1998594,CHPP-RD,BLACKWATER,COAL,683235,7373410,290,257,44,0,229,50,321
2000292,COAL,BLACKWATER,NULL,676000,7337000,-1500,259,65535,0,229,0,319
2001990,CP-B_1,TDU,DROID,714725,7351658,5655,257,45,0,229,75,321
2003688,CP-B_16,TDU,LAVA,714723,7349554,5720,257,65535,0,229,0,319
2005386,CP-B_17,TDU,LAVA,715263,7349431,5770,257,65535,0,229,0,319
2007084,CP-B_18,TDU,LAVA,715689,7349451,5810,257,65535,0,229,0,319
2008782,CP-B_19,TDU,LAVA,715827,7349637,5830,257,65535,0,229,0,319
2010480,CP-B_2,TDU,DROID,714750,7351167,5660,257,65535,0,229,0,319
2012178,CP-B_20,TDU,LAVA,715475,7350436,5905,257,65535,0,229,0,319
2013876,CP-B_21,TDU,LAVA,715571,7350791,5925,257,65535,0,229,0,319
2015574,CP-B_22,TDU,LAVA,715730,7351058,5943,257,65535,0,229,0,319
2017272,CP-B_23,TDU,LAVA,716144,7351467,5980,257,65535,0,229,0,319
2018970,CP-B_24,TDU,LAVA,716304,7351534,5999,257,65535,0,229,0,319
2020668,CP-B_3,TDU,LAVA,714638,7350778,5670,257,46,0,229,120,321
2022366,CP-B_4,TDU,LAVA,714478,7350129,5690,257,65535,0,229,0,319
2024064,CP-B_5,TDU,LAVA,714516,7349662,5710,257,65535,0,229,0,319
2025762,CP-B_6,TDU,LAVA,714562,7349113,5680,257,47,0,229,120,321
2027460,CP-B_7,TDU,LAVA,714981,7349029,5640,257,65535,0,229,0,319
